energy	2w	c0	phi0	c1	phi1	c2	phi2
-1.26950810947894	44.4600905211842	0.421382168983241	1.38878792568346	0.447126886734816	5.01179583616762	1.40905207586607	3.10501658481879
-1.26944642224986	44.4617691162011	0.420278983332099	1.38878971872652	0.447095231485359	5.01182168390713	1.40939184041847	3.1050569240332
-1.26938473502078	44.4634477112179	0.419176259472844	1.38879150936135	0.44706358196899	5.01184752671187	1.40973122661354	3.10509725676828
-1.26932304779171	44.4651263062348	0.418073992899626	1.3887932975763	0.447031938288464	5.01187336463995	1.4100702364815	3.10513758287936
-1.26926136056263	44.4668049012516	0.41697217907039	1.38879508338565	0.447000300416942	5.01189919766025	1.4104088720454	3.10517790267771
-1.26919967333356	44.4684834962684	0.415870813483584	1.3887968667817	0.446968668378672	5.01192502577675	1.41074713532345	3.10521821573946
-1.26913798610448	44.4701620912853	0.414769891607656	1.38879864777004	0.446937042292713	5.01195084906088	1.41108502835397	3.105258522904
-1.2690762988754	44.4718406863021	0.413669408938537	1.38880042634622	0.446905422027337	5.01197666740675	1.41142255311588	3.10529882260263
-1.26901461164633	44.473519281319	0.412569360952567	1.38880220251093	0.44687380768904	5.01200248087691	1.41175971166336	3.10533911663106
-1.26895292441725	44.4751978763358	0.411469743151654	1.38880397625984	0.446842199236952	5.0120282894289	1.41209650599542	3.10537940421609
-1.26889123718817	44.4768764713527	0.410370550998782	1.3888057476035	0.446810596801303	5.01205409314364	1.41243293811604	3.10541968508588
-1.2688295499591	44.4785550663695	0.409271779997729	1.38880751653704	0.446779000323074	5.01207989196554	1.41276901003694	3.10545995933209
-1.26876786273002	44.4802336613864	0.408173425648474	1.3888092830528	0.446747409825273	5.01210568589805	1.41310472376654	3.1055002271223
-1.26870617550094	44.4819122564032	0.407075483414878	1.38881104716491	0.446715825376371	5.01213147497832	1.41344008130809	3.10554048877431
-1.26864448827187	44.48359085142	0.405977948802758	1.38881280886902	0.446684246925065	5.01215725915497	1.41377508465568	3.10558074376581
-1.26858280104279	44.4852694464369	0.404880817309693	1.38881456815845	0.446652674553087	5.01218303847535	1.41410973582089	3.10562099198588
-1.26852111381372	44.4869480414537	0.403784084425166	1.38881632503585	0.446621108257586	5.01220881292396	1.41444403679969	3.10566123384251
-1.26845942658464	44.4886266364706	0.402687745628191	1.38881807951341	0.446589548017705	5.01223458247114	1.41477798958018	3.10570146964427
-1.26839773935556	44.4903052314874	0.401591796418045	1.38881983158532	0.446557993926304	5.01226034717364	1.41511159615716	3.10574169907415
-1.26833605212649	44.4919838265043	0.400496232304831	1.38882158124264	0.446526445974595	5.01228610701113	1.41544485852383	3.10578192200299
-1.26827436489741	44.4936624215211	0.399401048779772	1.38882332848634	0.44649490420511	5.0123118620027	1.41577777866948	3.10582213810632
-1.26821267766833	44.4953410165379	0.398306241320946	1.38882507333051	0.446463368564615	5.01233761209307	1.41611035858283	3.10586234811219
-1.26815099043926	44.4970196115548	0.397211805434441	1.38882681576462	0.446431839112764	5.01236335731425	1.41644260025565	3.1059025513247
-1.26808930321018	44.4986982065716	0.396117736625554	1.388828555787	0.446400315951255	5.01238909773199	1.41677450565914	3.10594274829975
-1.2680276159811	44.5003768015885	0.395024030366304	1.38883029340988	0.446368798957156	5.01241483323551	1.41710607678893	3.10598293836867
-1.26796592875203	44.5020553966053	0.393930682164072	1.38883202862832	0.446337288254324	5.01244056390826	1.41743731560791	3.10602312242798
-1.26790424152295	44.5037339916221	0.392837687520471	1.38883376143531	0.446305783826879	5.0124662897235	1.41776822410058	3.10606330024505
-1.26784255429388	44.505412586639	0.391745041935408	1.38883549183131	0.446274285720991	5.01249201070386	1.41809880425099	3.10610347146396
-1.2677808670648	44.5070911816558	0.39065274088916	1.38883721982473	0.446242793878413	5.01251772678779	1.41842905802587	3.1061436362034
-1.26771917983572	44.5087697766727	0.389560779869974	1.38883894541987	0.446211308404524	5.01254343804578	1.41875898740975	3.10618379437996
-1.26765749260665	44.5104483716895	0.388469154402787	1.38884066859825	0.44617982930193	5.01256914446566	1.41908859434391	3.10622394659111
-1.26759580537757	44.5121269667063	0.387377859946511	1.38884238938165	0.446148356573693	5.01259484603527	1.41941788084146	3.10626409185769
-1.26753411814849	44.5138055617232	0.38628689202428	1.38884410775329	0.44611689022583	5.01262054274452	1.41974684885048	3.10630423071934
-1.26747243091942	44.51548415674	0.385196246112701	1.38884582372204	0.446085430323463	5.01264623463258	1.42007550032463	3.10634436343494
-1.26741074369034	44.5171627517569	0.384105917703971	1.38884753728928	0.446053976878027	5.01267192169437	1.4204038372319	3.10638448983755
-1.26734905646126	44.5188413467737	0.383015902295452	1.3888492484496	0.446022529859822	5.01269760388974	1.42073186156438	3.10642460937924
-1.26728736923219	44.5205199417905	0.381926195375864	1.38885095720646	0.445991089292584	5.01272328122318	1.42105957526276	3.10646472250393
-1.26722568200311	44.5221985368074	0.380836792427859	1.38885266356395	0.445959655251585	5.01274895374332	1.42138698027548	3.10650482952889
-1.26716399477404	44.5238771318242	0.379747688954227	1.38885436751282	0.445928227778544	5.01277462147092	1.42171407860612	3.10654492954307
-1.26710230754496	44.5255557268411	0.37865888042105	1.3888560690674	0.445896806813923	5.01280028433973	1.42204087210376	3.10658502437546
-1.26704062031588	44.5272343218579	0.37757036234374	1.38885776820991	0.445865392387915	5.01282594235996	1.42236736286083	3.10662511180718
-1.26697893308681	44.5289129168748	0.376482130185532	1.38885946495434	0.445833984622759	5.01285159562251	1.42269355278987	3.10666519264204
-1.26691724585773	44.5305915118916	0.37539417943397	1.38886115929787	0.445802583369578	5.01287724398189	1.42301944379102	3.10670526754472
-1.26685555862865	44.5322701069085	0.374306505578511	1.38886285123733	0.445771188764176	5.01290288754105	1.42334503786478	3.10674533588155
-1.26679387139958	44.5339487019253	0.373219104093631	1.38886454077681	0.445739800812208	5.0129285262896	1.42367033693084	3.10678539800404
-1.2667321841705	44.5356272969421	0.372131970461485	1.38886622791465	0.445708419510538	5.0129541602089	1.42399534295713	3.10682545370913
-1.26667049694142	44.537305891959	0.371045100158468	1.38886791265231	0.445677044874081	5.01297978929619	1.42432005789111	3.10686550298533
-1.26660880971235	44.5389844869758	0.369958488659481	1.38886959499076	0.445645676946296	5.01300541357439	1.42464448371092	3.1069055455117
-1.26654712248327	44.5406630819927	0.368872131437195	1.38887127493121	0.445614315725185	5.01303103302558	1.42496862234002	3.10694558156629
-1.2664854352542	44.5423416770095	0.367786023969336	1.38887295246951	0.445582961286166	5.01305664770223	1.42529247568328	3.10698561156837
-1.26642374802512	44.5440202720264	0.366700161729155	1.3888746276063	0.44555161355949	5.01308225752454	1.42561604567665	3.10702563561805
-1.26636206079604	44.5456988670432	0.365614540175548	1.38887630034641	0.445520272655015	5.01310786257668	1.42593933435243	3.10706565268893
-1.26630037356697	44.54737746206	0.364529154779979	1.38887797068749	0.445488938531241	5.01313346280446	1.42626234361133	3.10710566327311
-1.26623868633789	44.5490560570769	0.363444001002161	1.3888796386316	0.445457611217609	5.01315905821831	1.42658507537112	3.10714566754798
-1.26617699910881	44.5507346520937	0.362359074316771	1.38888130417265	0.445426290749258	5.01318464883451	1.42690753154444	3.10718566587358
-1.26611531187974	44.5524132471106	0.361274370166745	1.38888296731992	0.445394977162368	5.01321023467044	1.42722971415255	3.10722565735592
-1.26605362465066	44.5540918421274	0.360189884018524	1.38888462806863	0.445363670439427	5.01323581569311	1.42755162509169	3.10726564245693
-1.26599193742158	44.5557704371443	0.359105611332518	1.38888628641498	0.44533237056344	5.01326139186909	1.42787326626141	3.10730562146434
